نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد,fa_date,en_date,fa_year
حفارس,حمل و نقل بين المللي خليج فارس,0,0,0,5460,0,5220,-240,-4.4,5460,0,0,0,0,10.0,546.0,0,0,0,5220,197017,20,1399-07-13,2020-10-04,1399
فملي,ملي‌ صنايع‌ مس‌ ايران‌,0,0,0,30030,0,30160,130,0.43,30030,0,0,0,0,1232.0,24.38,13,7573,30160,30160,5501,3,1399-07-13,2020-10-04,1399
فماك,ماداكتو استيل كرد,0,0,0,29880,0,29880,0,0.0,29880,0,0,0,0,42.0,711.43,1,10000,22000,29800,200000,4,1399-07-13,2020-10-04,1399
اراد11,مرابحه عام دولت1-ش.خ لوتوس0206,0,0,0,840000,0,840000,0,0.0,840000,0,0,0,0,,,2,700,882000,0,0,0,1399-07-13,2020-10-04,1399
اخزا805,اسنادخزانه-م5بودجه98-000422,0,0,0,878979,0,879501,522,0.06,878979,0,0,0,0,,,1,25000,858865,885000,493,1,1399-07-13,2020-10-04,1399
سپاها,سيمان‌سپاهان‌,0,0,0,9520,0,9320,-200,-2.1,9520,0,0,0,0,335.0,28.42,0,0,0,9320,21085,12,1399-07-13,2020-10-04,1399
كگل,معدني و صنعتي گل گهر,0,0,0,23750,0,23880,130,0.55,23750,0,0,0,0,907.0,26.19,8,131103,21620,21620,20000,1,1399-07-13,2020-10-04,1399
شيران,س. صنايع‌شيميايي‌ايران,0,0,0,27430,0,27640,210,0.77,27430,0,0,0,0,1678.0,16.35,8,10883,27640,27650,1700,1,1399-07-13,2020-10-04,1399
سرچشمه,سرمايه گذاري مس سرچشمه,0,0,0,10145,0,10246,101,1.0,10145,0,0,0,0,680.0,14.92,3,2515,10246,10800,10000,1,1399-07-13,2020-10-04,1399
قشكر,شكرشاهرود,0,0,0,46520,0,44370,-2150,-4.62,46520,0,0,0,0,117.0,397.61,0,0,0,44370,6366,7,1399-07-13,2020-10-04,1399
آسام,صندوق س.آرمان سپهر آشنا-م,0,0,0,103848,0,104500,652,0.63,103848,0,0,0,0,,,0,0,0,141586,70,1,1399-07-13,2020-10-04,1399
مبين012,اجاره اعتماد مبين تمدن010710,0,0,0,997000,0,997000,0,0.0,997000,0,0,0,0,,,1,1875,939000,0,0,0,1399-07-13,2020-10-04,1399
قشرين,قند شيرين خراسان,0,0,0,19460,0,19367,-93,-0.48,19460,0,0,0,0,-254.0,-76.61,0,0,0,19367,2305,7,1399-07-13,2020-10-04,1399
اعتلا,شركت سرمايه گذاري اعتلاء البرز,0,0,0,12103,0,11536,-567,-4.68,12103,0,0,0,0,734.0,16.49,0,0,0,11590,7300,2,1399-07-13,2020-10-04,1399
وسزنجان,شركت س استان زنجان,0,0,0,1430,0,1500,70,4.9,1430,0,0,0,0,,,81,23590033,1500,0,0,0,1399-07-13,2020-10-04,1399
شفا,سرمايه گذاري شفادارو,0,0,0,62020,0,62040,20,0.03,62020,0,0,0,0,1516.0,40.91,1,200,61990,70000,353,1,1399-07-13,2020-10-04,1399
